,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.36,3.05,0.31,73,45,1981,1978,2011,2007,normal,
3,2,7.14,6.15,0.99,83,35,1981,1978,2011,2010,top-third,
4,3,11.08,9.36,1.72,91,27,1977,1978,2011,2005,top-third,
5,4,16.04,12.53,3.51,105,13,1931,1978,2011,2006,top-third,
6,5,26.14,16.09,10.05,117,1,1931,2012,2011,,highest,
7,6,33.02,19.96,13.06,117,1,1931,2012,2011,,highest,
8,7,36.00,24.16,11.84,116,2,1931,2005,2011,2005,top-tenth,
9,8,39.18,28.31,10.87,115,3,1931,2005,2011,2005,top-tenth,
10,9,44.88,32.22,12.66,115,3,1931,2005,2011,2005,top-tenth,
11,10,52.94,35.83,17.11,117,1,1931,2012,2011,,highest,
12,11,58.73,39.33,19.40,117,1,1931,2012,2011,,highest,
13,12,62.46,41.94,20.52,117,1,1931,2012,2011,,highest,
