,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.71,1.06,-0.35,32,85,"1919,1931",1916,2003,2010,bottom-third,
3,2,2.36,2.13,0.23,76,41,1931,1914,2010,2009,normal,1951
4,3,3.31,3.20,0.11,69,48,1904,1979,2010,2009,normal,2007
5,4,4.72,4.54,0.18,64,53,1977,1909,2004,2010,normal,"1925,1965,1971"
6,5,5.45,5.96,-0.51,46,71,1904,1942,2004,2010,normal,
7,6,7.79,7.98,-0.19,56,61,1901,1942,2010,2009,normal,2001
8,7,10.25,10.08,0.17,65,52,1901,2007,2010,2009,normal,1897
9,8,11.60,11.62,-0.02,55,62,"1981,1901",1942,2004,2010,normal,
10,9,12.94,13.64,-0.70,44,73,1901,1942,2004,2010,normal,
11,10,15.07,15.52,-0.45,47,70,1940,1942,2009,2010,normal,
12,11,16.81,17.02,-0.21,53,64,2003,1942,2009,2010,normal,
13,12,18.02,18.10,-0.08,57,60,2003,1942,2009,2010,normal,
