,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,38.6,33.7,4.9,107,11,1949,2003,2011,2005,top-tenth,
3,2,35.0,34.0,1.0,74,44,1919,1981,2010,2011,normal,"1902,1997"
4,3,37.8,36.7,1.1,79,39,1919,1911,2010,2011,top-third,"1938,1942"
5,4,42.2,41.1,1.1,90,28,1919,1999,2010,2011,top-third,"1900,1938,1955"
6,5,47.0,45.7,1.3,94,24,1913,1999,2010,2011,top-third,"1938,1943,2005"
7,6,51.9,49.9,2.0,106,12,1913,1999,2010,2011,top-tenth,"2000,2002"
8,7,55.4,53.2,2.2,112,6,1913,2004,2011,2006,top-tenth,
9,8,57.6,55.2,2.4,115,3,1913,2004,2011,2004,top-tenth,1911
10,9,57.8,55.7,2.1,112,6,1913,2004,2011,2006,top-tenth,2006
11,10,57.6,55.3,2.3,115,3,1913,2004,2011,2004,top-tenth,"1911,2002,2003"
12,11,56.8,54.2,2.6,116,2,1913,1911,2011,1935,top-tenth,1935
13,12,55.0,52.9,2.1,114,4,1913,1935,2011,2004,top-tenth,
