,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,6.35,6.06,0.29,65,53,1985,1953,2010,2011,normal,
3,2,9.55,12.58,-3.03,22,96,1977,1934,2005,2011,bottom-third,1930
4,3,15.65,18.71,-3.06,28,90,1977,1974,2005,2011,bottom-third,
5,4,18.99,22.40,-3.41,27,91,1977,1974,2005,2011,bottom-third,
6,5,20.28,24.36,-4.08,21,97,1977,1934,2005,2011,bottom-third,
7,6,20.48,25.39,-4.91,17,101,1977,1934,2001,2011,bottom-third,
8,7,21.54,26.28,-4.74,18,100,1977,1934,2001,2011,bottom-third,
9,8,22.98,28.17,-5.19,19,99,1977,1934,2001,2011,bottom-third,
10,9,27.07,30.42,-3.35,28,90,1977,1934,2003,2011,bottom-third,
11,10,31.74,33.25,-1.51,45,73,1977,1997,2009,2011,normal,
12,11,39.55,37.41,2.14,76,42,1977,1934,2010,2011,normal,
13,12,43.64,42.15,1.49,72,46,1930,1997,2010,2011,normal,
