,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.21,3.29,-0.08,69,49,1981,1979,2011,2006,normal,1904
3,2,7.44,6.84,0.60,75,43,1981,1958,2011,2009,normal,
4,3,10.85,10.82,0.03,69,49,1981,1958,2011,2010,normal,
5,4,17.07,14.35,2.72,90,28,1911,2006,2008,2011,top-third,
6,5,23.10,18.15,4.95,106,12,1915,2006,2011,2009,top-tenth,
7,6,32.19,21.92,10.27,115,3,1931,2006,2011,2006,top-tenth,
8,7,34.88,25.93,8.95,113,5,1911,2006,2011,2009,top-tenth,
9,8,39.32,29.85,9.47,113,5,1965,2006,2011,2009,top-tenth,
10,9,44.41,33.46,10.95,115,3,1915,2007,2011,2007,top-tenth,
11,10,49.83,36.97,12.86,114,4,2002,2006,2011,2007,top-tenth,
12,11,54.70,40.51,14.19,116,2,1911,2006,2011,2006,top-tenth,
13,12,58.14,43.43,14.71,115,3,1942,2006,2011,2009,top-tenth,
