,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,43.9,40.0,3.9,95,23,1977,1950,2011,2007,top-third,
3,2,45.4,40.8,4.6,106,12,1918,1932,2011,2007,top-tenth,
4,3,47.7,43.6,4.1,109,9,1918,1932,2011,2002,top-tenth,
5,4,50.4,47.7,2.7,106,12,1918,1932,2011,2008,top-tenth,
6,5,54.5,52.2,2.3,106,12,1918,1932,2011,2008,top-tenth,1913
7,6,58.4,56.1,2.3,109,9,1918,1932,2011,2008,top-tenth,
8,7,61.4,59.1,2.3,111,7,"1977,1918",1932,2011,2008,top-tenth,1950
9,8,63.4,60.9,2.5,115,3,1977,1932,2011,1999,top-tenth,
10,9,63.9,61.5,2.4,115,3,1918,1932,2011,1999,top-tenth,
11,10,63.6,61.1,2.5,116,2,1918,1932,2011,1999,top-tenth,1999
12,11,62.4,60.1,2.3,117,1,1918,2012,2011,,highest,
13,12,61.0,58.5,2.5,117,1,1918,2012,2011,,highest,
