,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,15.7,15.3,0.4,61,56,1970,1932,2009,2010,normal,1991
3,2,18.3,17.8,0.5,63,54,1918,2002,2009,2010,normal,
4,3,23.8,22.9,0.9,72,45,1918,2002,2009,2010,normal,1910
5,4,29.2,28.5,0.7,69,48,1918,2002,2009,2010,normal,
6,5,35.2,34.0,1.2,84,33,1918,2002,2009,2010,top-third,1914
7,6,40.2,38.9,1.3,86,31,1918,2002,2009,2010,top-third,1928
8,7,44.4,42.8,1.6,98,19,"1905,1918",2002,2010,2008,top-third,"1913,1954"
9,8,46.6,45.1,1.5,98,19,"1918,1905",2006,2010,2008,top-third,1958
10,9,47.6,45.8,1.8,105,12,1918,2002,2010,2008,top-tenth,1980
11,10,47.5,45.2,2.3,109,8,1918,2002,2010,2007,top-tenth,1995
12,11,46.4,43.6,2.8,111,6,1918,"1932,2002",2010,2007,top-tenth,
13,12,44.5,41.3,3.2,115,2,1918,1999,2010,2007,top-tenth,2007
