,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,40.6,44.6,-4.0,19,98,1940,1974,1988,2010,bottom-third,
3,2,39.5,45.2,-5.7,4,113,1918,1932,1977,2010,bottom-tenth,
4,3,44.3,47.8,-3.5,7,110,1918,1932,1977,2010,bottom-tenth,
5,4,49.3,51.7,-2.4,12,105,1918,1932,2001,2010,bottom-tenth,"1936,1964"
6,5,54.8,56.1,-1.3,25,92,1918,1932,2001,2010,bottom-third,"1910,1978,1984,1988"
7,6,59.3,59.9,-0.6,34,83,1977,1932,2001,2010,bottom-third,"1899,1953,1967,1988"
8,7,62.5,62.7,-0.2,45,72,1977,1932,2010,2009,normal,"1896,1921,1941,1953,1976,1990"
9,8,65.0,64.5,0.5,79,38,1977,1932,2010,2009,top-third,"1903,1955,1979,1992,1995,2009"
10,9,65.9,65.2,0.7,81,36,1977,1932,2010,2008,top-third,1992
11,10,65.7,64.8,0.9,87,30,1977,"1932,1999",2010,2008,top-third,"1909,1920,1922,1926,1952,1986"
12,11,64.5,63.8,0.7,80,37,1918,1999,2010,2008,top-third,"1933,1935,1972"
13,12,62.6,62.4,0.2,68,49,1918,1999,2010,2009,normal,1900
