,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.87,3.83,-1.96,19,98,1907,1925,2004,2010,bottom-third,
3,2,3.86,7.48,-3.62,10,107,1981,1925,1989,2010,bottom-tenth,
4,3,5.09,10.08,-4.99,5,112,1934,1993,1981,2010,bottom-tenth,1911
5,4,6.56,13.11,-6.55,2,115,1934,1991,1934,2010,bottom-tenth,
6,5,11.47,17.31,-5.84,11,106,1985,1925,2002,2010,bottom-tenth,
7,6,17.43,22.57,-5.14,19,98,2002,1993,2008,2010,bottom-third,
8,7,22.29,28.11,-5.82,10,107,2002,1960,2008,2010,bottom-tenth,
9,8,26.80,32.83,-6.03,14,103,1955,1995,2008,2010,bottom-third,
10,9,30.40,36.42,-6.02,18,99,1955,1925,2008,2010,bottom-third,
11,10,31.74,39.79,-8.05,8,109,2002,1925,2008,2010,bottom-tenth,
12,11,34.80,44.07,-9.27,7,110,1934,1960,2008,2010,bottom-tenth,
13,12,38.14,48.02,-9.88,10,107,1955,1965,2008,2010,bottom-tenth,
