,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,1.19,2.13,-0.94,25,92,1986,1916,2009,2010,bottom-third,
3,2,2.96,4.45,-1.49,21,96,1956,1950,2003,2010,bottom-third,1959
4,3,6.11,7.20,-1.09,38,79,1977,1993,2003,2010,bottom-third,
5,4,7.43,10.00,-2.57,21,96,1905,1950,2003,2010,bottom-third,
6,5,11.16,13.49,-2.33,33,84,1940,1927,2003,2010,bottom-third,
7,6,14.34,16.99,-2.65,28,89,1954,1927,2003,2010,bottom-third,
8,7,19.69,20.63,-0.94,49,68,1954,1916,2006,2010,normal,
9,8,27.40,24.68,2.72,78,39,1954,1994,2008,2010,top-third,
10,9,32.80,28.76,4.04,91,26,1931,1916,2008,2010,top-third,
11,10,36.16,32.46,3.70,93,24,1902,2010,2008,2010,top-third,
12,11,38.90,35.55,3.35,87,30,1931,2010,2008,2010,top-third,
13,12,40.43,37.43,3.00,83,34,1931,2010,2008,2010,top-third,
