,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,22.7,25.3,-2.6,31,86,1977,2006,2010,2008,bottom-third,1976
3,2,23.4,27.5,-4.1,18,99,1918,1932,2001,2010,bottom-third,"1905,1962"
4,3,30.1,31.9,-1.8,32,85,1977,1932,2009,2010,bottom-third,1938
5,4,36.7,37.6,-0.9,38,79,1977,1932,2009,2010,bottom-third,"1911,1961,1986,2003"
6,5,42.8,43.3,-0.5,45,72,1977,1932,2010,2010,normal,"1896,1990,2010"
7,6,48.5,48.4,0.1,61,56,1977,1932,2010,2008,normal,"1916,2003"
8,7,52.6,52.2,0.4,67,50,1977,1932,2010,2008,normal,"1906,1964,1987"
9,8,55.4,54.6,0.8,82,35,"1977,1918",1932,2010,2008,top-third,"1960,1981,2003"
10,9,56.4,55.5,0.9,86,31,1918,1932,2010,2008,top-third,1947
11,10,56.6,55.1,1.5,95,22,1918,1932,2010,2008,top-third,"1931,1988"
12,11,55.5,53.7,1.8,102,15,1918,1932,2010,2008,top-third,"1988,1989"
13,12,53.0,51.6,1.4,95,22,1918,1932,2010,2008,top-third,2005
