,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,0.94,1.16,-0.22,54,64,1919,1916,2011,2010,normal,1898
3,2,1.05,2.18,-1.13,9,109,1931,"1914,1907",2007,2011,bottom-tenth,
4,3,1.43,3.07,-1.64,4,114,1977,1914,1994,2011,bottom-tenth,
5,4,2.36,3.84,-1.48,16,102,1991,2005,2000,2011,bottom-third,
6,5,2.84,4.40,-1.56,12,106,1918,2005,2007,2011,bottom-tenth,
7,6,3.07,5.00,-1.93,12,106,1912,1984,2007,2011,bottom-tenth,
8,7,3.57,5.54,-1.97,12,106,1912,1984,2007,2011,bottom-tenth,
9,8,4.12,6.24,-2.12,10,108,1934,1914,2007,2011,bottom-tenth,
10,9,5.65,7.21,-1.56,29,89,1929,1914,2009,2011,bottom-third,
11,10,6.87,8.13,-1.26,33,85,1929,1914,2009,2011,bottom-third,
12,11,8.44,9.20,-0.76,47,71,2003,1984,2009,2011,normal,
13,12,9.27,10.29,-1.02,43,75,1934,1999,2009,2011,normal,
