,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,4.75,5.14,-0.39,56,61,1928,1998,2010,2008,normal,
3,2,6.80,10.62,-3.82,14,103,1981,1932,2000,2010,bottom-third,
4,3,12.16,14.88,-2.72,32,85,1904,1932,2009,2010,bottom-third,1896
5,4,13.45,18.32,-4.87,17,100,1904,1932,2009,2010,bottom-third,1976
6,5,14.75,22.42,-7.67,6,111,1904,1974,2000,2010,bottom-tenth,
7,6,20.83,27.08,-6.25,13,104,1904,1974,2006,2010,bottom-third,
8,7,26.31,32.77,-6.46,15,102,1925,1974,2000,2010,bottom-third,
9,8,30.62,37.36,-6.74,16,101,1925,1941,2006,2010,bottom-third,
10,9,33.86,42.52,-8.66,15,102,1918,1990,2006,2010,bottom-third,
11,10,35.14,47.41,-12.27,6,111,1925,1992,2000,2010,bottom-tenth,
12,11,37.56,52.37,-14.81,4,113,1925,1974,1925,2010,bottom-tenth,
13,12,43.00,57.05,-14.05,7,110,1918,1974,2000,2010,bottom-tenth,
