,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,42.2,45.2,-3.0,28,89,1940,1950,2010,2009,bottom-third,
3,2,42.3,46.0,-3.7,15,102,"1918,1977",1950,2001,2010,bottom-third,
4,3,46.7,48.6,-1.9,26,91,1977,1932,2010,2009,bottom-third,1969
5,4,51.3,52.6,-1.3,32,85,1977,1932,2010,2009,bottom-third,"1938,1968,1979"
6,5,56.5,57.1,-0.6,44,73,1977,1932,2010,2008,normal,1908
7,6,61.0,61.0,0.0,62,55,1977,1932,2010,2008,normal,"1897,1906,1921,1948,1985"
8,7,64.1,63.8,0.3,73,44,1977,1932,2010,2008,normal,"1897,1917,1926"
9,8,66.4,65.6,0.8,88,29,1977,1999,2010,2008,top-third,"1909,1939,1991"
10,9,67.3,66.2,1.1,96,21,1977,1999,2010,2008,top-third,"1927,1942,1949,2005"
11,10,67.1,66.0,1.1,98,19,1977,1999,2010,2000,top-third,"1942,2000"
12,11,65.7,65.0,0.7,84,33,1977,"1999,1922",2010,2008,top-third,"1911,1912"
13,12,63.6,63.6,0.0,54,63,1977,"1923,1999,1922",2010,2008,normal,"1914,1917,1965,1989"
