,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,29.4,23.7,5.7,109,9,1937,1986,2011,2006,top-tenth,
3,2,26.9,24.5,2.4,95,23,1979,1981,2010,2011,top-third,1996
4,3,29.6,27.5,2.1,99,19,1973,1981,2011,2011,top-third,"1954,1995,2011"
5,4,34.0,32.3,1.7,95,23,1899,1934,2010,2011,top-third,2003
6,5,38.9,37.3,1.6,97,21,1899,1934,2010,2011,top-third,"1923,2003"
7,6,43.9,41.9,2.0,106,12,1899,1934,2010,2011,top-tenth,"1956,1959"
8,7,47.6,45.5,2.1,107,11,1913,1934,2010,2011,top-tenth,
9,8,49.6,47.5,2.1,108,10,1913,1934,2010,2011,top-tenth,2004
10,9,49.5,48.0,1.5,102,16,1913,1935,2010,2011,top-third,1955
11,10,48.9,47.4,1.5,102,16,1913,1935,2010,2011,top-third,2001
12,11,47.9,46.2,1.7,105,13,1913,1935,2011,2011,top-third,"1978,1999,2011"
13,12,45.9,44.6,1.3,99,19,1913,1935,2010,2011,top-third,"1934,1941"
