,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,37.6,39.3,-1.7,32,85,1918,1907,2010,2009,bottom-third,1959
3,2,38.3,40.5,-2.2,28,89,1918,1907,2010,2009,bottom-third,
4,3,42.8,43.6,-0.8,36,81,1918,1932,2009,2010,bottom-third,"1927,1929,1938,1981,2009"
5,4,47.8,48.2,-0.4,46,71,"1918,1977",1932,2010,2008,normal,"1933,1993,1997"
6,5,53.2,53.1,0.1,64,53,1977,1932,2010,2008,normal,"1964,1998,2007"
7,6,58.3,57.5,0.8,85,32,1977,1932,2010,2008,top-third,"1916,1952"
8,7,61.7,60.7,1.0,91,26,1977,1932,2010,2008,top-third,"1897,1911,1950,2004"
9,8,64.2,62.7,1.5,104,13,1977,"1932,1999",2010,2006,top-third,
10,9,65.0,63.4,1.6,106,11,1977,1999,2010,2006,top-tenth,1939
11,10,64.8,63.1,1.7,108,9,1977,1999,2010,2006,top-tenth,
12,11,63.5,62.0,1.5,107,10,1918,1999,2010,2008,top-tenth,"1897,1947,2006"
13,12,61.3,60.4,0.9,88,29,1918,1999,2010,2008,top-third,"1987,2005"
