,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.18,4.89,-1.71,30,87,1986,1937,2003,2010,bottom-third,
3,2,5.98,9.83,-3.85,12,105,1986,1937,1986,2010,bottom-tenth,
4,3,11.62,13.89,-2.27,38,79,1914,1949,2008,2010,bottom-third,
5,4,14.37,16.96,-2.59,35,82,1940,1937,2006,2010,bottom-third,
6,5,16.39,20.36,-3.97,28,89,1940,1937,2006,2010,bottom-third,
7,6,20.76,24.21,-3.45,34,83,1940,1916,2008,2010,bottom-third,
8,7,25.10,28.60,-3.50,33,84,1940,1916,2008,2010,bottom-third,
9,8,28.43,32.90,-4.47,29,88,1931,1950,2008,2010,bottom-third,
10,9,37.44,37.32,0.12,59,58,1914,1916,2009,2010,normal,
11,10,40.53,41.82,-1.29,49,68,1931,1974,2009,2010,normal,
12,11,44.41,47.26,-2.85,42,75,1931,1974,2008,2010,normal,
13,12,47.53,51.73,-4.20,37,80,1931,1974,2008,2010,bottom-third,
