,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.30,3.94,-0.64,43,75,1955,1979,2010,2011,normal,2010
3,2,7.29,8.10,-0.81,47,71,1981,1979,2007,2011,normal,
4,3,11.81,12.25,-0.44,57,61,1981,1987,2008,2011,normal,
5,4,19.28,15.79,3.49,94,24,2002,2006,2011,2010,top-third,
6,5,25.65,19.39,6.26,109,9,2002,2006,2011,2009,top-tenth,
7,6,33.83,23.43,10.40,113,5,1981,2006,2011,2006,top-tenth,
8,7,36.56,26.67,9.89,111,7,1966,1899,2011,2006,top-tenth,
9,8,40.97,29.96,11.01,111,7,1966,1978,2011,2007,top-tenth,
10,9,44.37,33.42,10.95,110,8,1966,2007,2011,2007,top-tenth,
11,10,49.72,37.45,12.27,111,7,1966,1973,2011,2007,top-tenth,
12,11,52.24,41.66,10.58,110,8,1966,1973,2011,2007,top-tenth,2007
13,12,56.80,45.14,11.66,109,9,1966,1973,2011,2009,top-tenth,
