,Period,Value,Twentieth Century Mean, Departure, Low Rank, High Rank, Record Low, Record High, Lowest Since, Highest Since, Percentile, Ties
2,1,3.22,3.64,-0.42,54,64,1955,1979,2008,2011,normal,
3,2,7.67,7.47,0.20,69,49,1981,1979,2011,2010,normal,
4,3,11.43,11.49,-0.06,65,53,1981,1978,2011,2011,normal,2011
5,4,18.69,15.00,3.69,101,17,2002,2006,2011,2006,top-third,
6,5,25.95,18.79,7.16,110,8,2002,2006,2011,2006,top-tenth,
7,6,35.43,22.68,12.75,116,2,1985,1956,2011,1956,top-tenth,
8,7,37.94,26.34,11.60,114,4,1981,1976,2011,2006,top-tenth,2006
9,8,43.39,29.96,13.43,116,2,1965,1976,2011,1976,top-tenth,
10,9,47.06,33.55,13.51,117,1,1965,2012,2011,,highest,
11,10,52.42,37.41,15.01,117,1,1966,2012,2011,,highest,
12,11,56.31,41.36,14.95,116,2,1966,1978,2011,1978,top-tenth,
13,12,60.49,44.61,15.88,115,3,1966,1973,2011,2009,top-tenth,
